VIN,Country,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,2020 Census Tract
VIN00000408,Canada,Berlin,82089,2012,TESLA,Camry,BEV,Eligible,250,105158,33,935914,PORT OF TACOMA,627123
VIN00000409,India,Berlin,76981,2009,BMW,Mustang,BEV,Not Eligible,92,127912,45,416924,PORT OF SEATTLE,986943
VIN00000410,Canada,London,91915,2017,FORD,Bolt,PHEV,Not Eligible,221,93733,50,628019,PORT OF TACOMA,228709
VIN00000411,Russia,Berlin,69304,2007,FORD,Mustang,PHEV,Eligible,307,56406,40,525380,CUSTOMS WAREHOUSE,953894
VIN00000412,USA,Paris,22238,2001,TESLA,Model X,PHEV,Not Eligible,183,124165,3,355026,CUSTOMS WAREHOUSE,716977
VIN00000413,UK,São Paulo,64281,2019,CHEVROLET,Camry,BEV,Not Eligible,274,82214,39,440873,PORT OF SEATTLE,343246
VIN00000414,China,São Paulo,40703,2005,TESLA,Bolt,BEV,Not Eligible,75,131948,22,462338,CUSTOMS WAREHOUSE,260315
VIN00000415,Canada,London,28538,2001,TESLA,Leaf,PHEV,Not Eligible,294,114001,41,507020,PORT OF TACOMA,555351
VIN00000416,USA,Tokyo,63768,2021,BMW,Model X,PHEV,Not Eligible,134,77784,47,608426,CUSTOMS WAREHOUSE,304418
VIN00000417,Canada,Sydney,75182,2005,BMW,Model S,BEV,Not Eligible,188,149152,26,677070,PORT OF SEATTLE,761166
VIN00000418,Canada,Toronto,52957,2021,CHEVROLET,Model X,PHEV,Eligible,321,100654,28,798760,PORT OF TACOMA,183297
VIN00000419,France,Mumbai,50562,2002,FORD,Mustang,BEV,Eligible,52,30360,13,233022,PORT OF TACOMA,657135
VIN00000420,India,Moscow,53375,2020,BMW,Leaf,PHEV,Not Eligible,212,48767,33,610016,PORT OF SEATTLE,725888
VIN00000421,UK,Sydney,28609,2008,BMW,Model X,PHEV,Not Eligible,139,143326,4,499576,PORT OF SEATTLE,316622
VIN00000422,Japan,São Paulo,92672,2023,BMW,Model S,PHEV,Eligible,135,126096,40,454961,PORT OF SEATTLE,794850
VIN00000423,Japan,Paris,20308,2009,TESLA,Model X,BEV,Not Eligible,198,141545,40,478513,PORT OF TACOMA,944776
VIN00000424,Russia,Berlin,30230,2000,TOYOTA,Camry,BEV,Not Eligible,90,89044,33,266641,PORT OF TACOMA,617497
VIN00000425,Germany,Mumbai,24027,2019,FORD,Bolt,BEV,Eligible,150,134015,48,890522,PORT OF SEATTLE,407421
VIN00000426,China,Berlin,50142,2016,NISSAN,Model S,BEV,Eligible,308,75445,44,698317,CUSTOMS WAREHOUSE,726282
VIN00000427,Brazil,London,43300,2016,FORD,Model X,PHEV,Eligible,334,55346,13,752846,PORT OF SEATTLE,925150
VIN00000428,UK,New York,46684,2011,NISSAN,Leaf,BEV,Eligible,319,144656,25,817085,CUSTOMS WAREHOUSE,707181
VIN00000429,USA,Tokyo,54272,2022,BMW,Model X,BEV,Not Eligible,131,139320,45,371428,PORT OF TACOMA,278375
VIN00000430,USA,New York,36808,2005,FORD,Bolt,PHEV,Not Eligible,80,148316,26,294298,CUSTOMS WAREHOUSE,508848
VIN00000431,Russia,Tokyo,32093,2004,FORD,Leaf,BEV,Eligible,188,124980,19,959474,PORT OF TACOMA,478211
VIN00000432,Australia,Mumbai,29014,2002,BMW,Mustang,PHEV,Not Eligible,229,104068,17,305597,CUSTOMS WAREHOUSE,739421
VIN00000433,India,Toronto,18909,2013,TESLA,Model X,BEV,Eligible,153,76685,49,851089,PORT OF SEATTLE,636133
VIN00000434,Mexico,London,57762,2013,TESLA,Model X,PHEV,Not Eligible,324,123929,33,257343,PORT OF TACOMA,539441
VIN00000435,India,Sydney,27927,2010,TOYOTA,Model X,PHEV,Eligible,277,130988,50,465863,PORT OF TACOMA,265394
VIN00000436,Germany,Tokyo,14928,2006,CHEVROLET,Model S,BEV,Not Eligible,159,97344,31,260002,PORT OF SEATTLE,752620
VIN00000437,China,Paris,81740,2002,BMW,Bolt,BEV,Not Eligible,214,66219,44,254961,PORT OF TACOMA,901940
VIN00000438,Australia,New York,11791,2017,BMW,Mustang,PHEV,Eligible,90,78725,23,762980,PORT OF SEATTLE,957031
VIN00000439,Australia,Sydney,32957,2011,CHEVROLET,Bolt,PHEV,Eligible,151,127098,23,653948,PORT OF TACOMA,871605
VIN00000440,France,Mumbai,33532,2014,TOYOTA,Mustang,BEV,Not Eligible,390,74237,18,307189,PORT OF TACOMA,416041
VIN00000441,Russia,São Paulo,86431,2007,TESLA,Camry,PHEV,Not Eligible,50,87762,6,465961,PORT OF TACOMA,558312
VIN00000442,Japan,Berlin,93236,2012,TOYOTA,Model S,PHEV,Eligible,182,83818,8,413341,PORT OF SEATTLE,498233
VIN00000443,Brazil,Sydney,79054,2010,TESLA,Bolt,BEV,Eligible,155,92147,42,909565,CUSTOMS WAREHOUSE,859181
VIN00000444,UK,Tokyo,74234,2007,NISSAN,Model X,PHEV,Not Eligible,330,100522,45,980382,PORT OF SEATTLE,718035
VIN00000445,Japan,São Paulo,88555,2010,NISSAN,Model S,PHEV,Not Eligible,372,55977,13,936466,CUSTOMS WAREHOUSE,671365
VIN00000446,Canada,Tokyo,28034,2019,NISSAN,Camry,BEV,Not Eligible,214,83185,18,917568,PORT OF TACOMA,604300
VIN00000447,France,Toronto,24778,2007,TOYOTA,Model S,BEV,Eligible,346,50968,1,633923,PORT OF SEATTLE,106385
VIN00000448,Germany,London,21977,2020,CHEVROLET,Leaf,BEV,Not Eligible,178,95643,21,737980,PORT OF TACOMA,215772
VIN00000449,India,Berlin,76292,2002,TOYOTA,Model S,PHEV,Eligible,160,132516,49,217952,PORT OF SEATTLE,822873
VIN00000450,USA,New York,27631,2003,BMW,Bolt,BEV,Eligible,217,77254,27,567848,CUSTOMS WAREHOUSE,563401
VIN00000451,USA,Sydney,77150,2001,FORD,Leaf,BEV,Eligible,198,92817,27,140192,CUSTOMS WAREHOUSE,543426
VIN00000452,Mexico,Paris,80899,2021,TOYOTA,Model S,PHEV,Eligible,187,36392,10,726442,CUSTOMS WAREHOUSE,813776
VIN00000453,Germany,Berlin,59465,2006,NISSAN,Leaf,PHEV,Eligible,392,99529,41,733868,PORT OF SEATTLE,359256
VIN00000454,Canada,Mumbai,80731,2024,TOYOTA,Model S,BEV,Not Eligible,147,64727,19,547908,CUSTOMS WAREHOUSE,864887
VIN00000455,France,Toronto,13058,2005,NISSAN,Model X,PHEV,Not Eligible,115,96415,1,447441,CUSTOMS WAREHOUSE,421848
VIN00000456,Russia,Mumbai,47525,2012,CHEVROLET,Model X,BEV,Eligible,172,129941,39,652809,PORT OF SEATTLE,289445
VIN00000457,France,London,37324,2015,TOYOTA,Mustang,BEV,Not Eligible,59,69059,21,727509,CUSTOMS WAREHOUSE,790690
VIN00000458,France,New York,75206,2010,CHEVROLET,Camry,BEV,Eligible,250,140951,12,148308,PORT OF TACOMA,708791
VIN00000459,Japan,Moscow,79112,2014,TESLA,Leaf,BEV,Not Eligible,274,119715,24,458757,CUSTOMS WAREHOUSE,532724
VIN00000460,Brazil,Tokyo,63328,2004,FORD,Mustang,PHEV,Not Eligible,189,113937,2,426465,PORT OF SEATTLE,333868
VIN00000461,Brazil,Sydney,38581,2003,TOYOTA,Leaf,PHEV,Eligible,275,73091,13,433344,PORT OF TACOMA,231274
VIN00000462,China,Toronto,24768,2021,NISSAN,Model X,PHEV,Eligible,244,56799,22,402422,CUSTOMS WAREHOUSE,235040
VIN00000463,India,Toronto,90405,2007,TESLA,Bolt,BEV,Eligible,378,85515,32,809033,PORT OF TACOMA,875857
VIN00000464,Canada,São Paulo,21831,2013,TOYOTA,Mustang,BEV,Not Eligible,382,101029,21,297364,PORT OF TACOMA,660542
VIN00000465,UK,Berlin,19604,2004,BMW,Leaf,BEV,Eligible,235,95616,22,513616,PORT OF TACOMA,331381
VIN00000466,Australia,São Paulo,67010,2006,CHEVROLET,Camry,PHEV,Not Eligible,311,118295,35,262820,PORT OF TACOMA,296534
VIN00000467,China,São Paulo,17644,2006,FORD,Bolt,PHEV,Not Eligible,201,40756,43,763510,CUSTOMS WAREHOUSE,378898
VIN00000468,UK,London,61246,2005,BMW,Leaf,PHEV,Not Eligible,283,63027,34,741859,PORT OF SEATTLE,925660
VIN00000469,Russia,Mumbai,39109,2011,BMW,Leaf,PHEV,Eligible,372,122500,42,787172,CUSTOMS WAREHOUSE,441853
VIN00000470,China,Berlin,62837,2010,TOYOTA,Mustang,PHEV,Eligible,365,130037,40,608825,CUSTOMS WAREHOUSE,919050
VIN00000471,India,Mumbai,45221,2011,TESLA,Model X,BEV,Not Eligible,265,123477,7,915726,PORT OF TACOMA,396068
VIN00000472,Russia,São Paulo,63974,2006,TESLA,Camry,BEV,Eligible,54,120462,43,524146,PORT OF TACOMA,404791
VIN00000473,Germany,London,39806,2015,FORD,Model X,BEV,Eligible,58,89307,20,892976,PORT OF TACOMA,913077
VIN00000474,Mexico,Tokyo,99230,2016,FORD,Model X,BEV,Not Eligible,368,33329,28,285117,PORT OF SEATTLE,689143
VIN00000475,USA,Berlin,51326,2001,CHEVROLET,Camry,PHEV,Eligible,95,126273,25,565954,PORT OF SEATTLE,414162
VIN00000476,USA,São Paulo,78796,2002,FORD,Camry,BEV,Eligible,345,69674,25,901660,PORT OF SEATTLE,270024
VIN00000477,Germany,New York,84866,2021,TESLA,Leaf,BEV,Not Eligible,234,132441,28,742132,PORT OF SEATTLE,222932
VIN00000478,Germany,Tokyo,13617,2013,TOYOTA,Leaf,BEV,Not Eligible,163,125398,3,384729,PORT OF SEATTLE,469089
VIN00000479,UK,Tokyo,25440,2008,CHEVROLET,Mustang,PHEV,Eligible,170,118495,50,427590,CUSTOMS WAREHOUSE,198704
VIN00000480,Russia,New York,92375,2002,FORD,Model X,PHEV,Not Eligible,268,79038,49,967820,PORT OF TACOMA,198193
VIN00000481,USA,Berlin,19420,2024,TESLA,Mustang,BEV,Eligible,351,31286,5,689212,CUSTOMS WAREHOUSE,328570
VIN00000482,UK,São Paulo,66494,2001,BMW,Mustang,BEV,Eligible,369,41783,45,715961,CUSTOMS WAREHOUSE,422968
VIN00000483,UK,New York,71354,2024,TOYOTA,Camry,PHEV,Eligible,78,64739,15,686112,PORT OF SEATTLE,138798
VIN00000484,France,Toronto,27218,2008,CHEVROLET,Bolt,PHEV,Not Eligible,157,74105,26,829050,CUSTOMS WAREHOUSE,967679
VIN00000485,Russia,Moscow,68649,2016,FORD,Model S,PHEV,Eligible,320,144698,5,672378,PORT OF SEATTLE,752184
VIN00000486,Mexico,Sydney,21693,2009,TESLA,Camry,PHEV,Eligible,211,139500,47,816973,PORT OF TACOMA,283330
VIN00000487,UK,Tokyo,19431,2001,NISSAN,Camry,BEV,Not Eligible,233,40417,27,119935,CUSTOMS WAREHOUSE,231285
VIN00000488,India,Mumbai,56856,2019,FORD,Mustang,PHEV,Eligible,272,97487,6,234179,PORT OF SEATTLE,305751
VIN00000489,China,Paris,22474,2013,NISSAN,Model X,BEV,Not Eligible,359,58665,24,102612,PORT OF SEATTLE,739367
VIN00000490,Canada,Tokyo,61992,2001,BMW,Model S,BEV,Eligible,303,32047,35,235234,PORT OF SEATTLE,329408
VIN00000491,Mexico,Tokyo,66959,2018,TOYOTA,Model S,BEV,Not Eligible,286,110948,28,774716,PORT OF TACOMA,890286
VIN00000492,Russia,Moscow,47435,2024,TESLA,Model S,PHEV,Eligible,245,83097,49,308862,PORT OF SEATTLE,195035
VIN00000493,Brazil,Mumbai,39568,2012,TOYOTA,Model X,BEV,Not Eligible,221,64851,50,625198,PORT OF TACOMA,926609
VIN00000494,Australia,Moscow,39813,2017,TESLA,Camry,BEV,Not Eligible,165,113922,47,267828,PORT OF SEATTLE,196159
VIN00000495,Canada,Tokyo,97269,2018,TOYOTA,Model S,PHEV,Eligible,267,101218,27,443709,CUSTOMS WAREHOUSE,763862
VIN00000496,China,Berlin,79099,2004,CHEVROLET,Leaf,BEV,Not Eligible,352,46217,39,690582,PORT OF TACOMA,721478
VIN00000497,France,Toronto,35818,2009,BMW,Camry,PHEV,Eligible,139,88807,43,157808,PORT OF SEATTLE,612570
VIN00000498,USA,Moscow,25984,2003,NISSAN,Model S,PHEV,Not Eligible,175,93127,9,626246,PORT OF TACOMA,164433
VIN00000499,UK,Toronto,61113,2005,NISSAN,Bolt,PHEV,Eligible,83,88457,47,633710,PORT OF TACOMA,891433
VIN00000500,Canada,Sydney,86099,2014,TESLA,Model S,PHEV,Not Eligible,158,100040,46,763313,PORT OF TACOMA,841232
VIN00000501,Mexico,São Paulo,58055,2001,NISSAN,Leaf,PHEV,Not Eligible,166,118192,6,605247,PORT OF SEATTLE,195060
VIN00000502,India,Toronto,40439,2019,TOYOTA,Model S,BEV,Eligible,74,47042,11,371098,CUSTOMS WAREHOUSE,455197
VIN00000503,China,Berlin,98273,2009,TOYOTA,Camry,PHEV,Not Eligible,372,144245,39,353181,PORT OF TACOMA,331894
VIN00000504,Brazil,Moscow,87881,2018,NISSAN,Model S,BEV,Eligible,325,44620,38,775050,PORT OF SEATTLE,736227
VIN00000505,Brazil,Tokyo,85067,2001,NISSAN,Camry,BEV,Eligible,209,40279,6,687762,CUSTOMS WAREHOUSE,876358
VIN00000506,India,São Paulo,77403,2022,FORD,Bolt,PHEV,Eligible,392,86418,3,716574,CUSTOMS WAREHOUSE,278319
VIN00000507,India,Sydney,54724,2015,BMW,Model X,PHEV,Not Eligible,260,33650,44,302399,PORT OF TACOMA,398299
VIN00000508,Russia,London,62204,2019,FORD,Bolt,PHEV,Not Eligible,145,146098,1,629119,PORT OF TACOMA,375295
VIN00000509,Canada,Moscow,81453,2005,CHEVROLET,Leaf,BEV,Not Eligible,326,88676,35,207348,PORT OF SEATTLE,405141
VIN00000510,India,Tokyo,73309,2007,TOYOTA,Leaf,PHEV,Not Eligible,330,109636,5,667172,PORT OF SEATTLE,460322
VIN00000511,UK,Moscow,76040,2001,FORD,Model S,BEV,Not Eligible,55,41217,1,758709,CUSTOMS WAREHOUSE,226629
VIN00000512,Brazil,New York,54922,2016,BMW,Mustang,PHEV,Not Eligible,163,147669,1,544786,CUSTOMS WAREHOUSE,806395
VIN00000513,Brazil,Sydney,38696,2024,CHEVROLET,Camry,PHEV,Eligible,141,112316,5,292923,PORT OF TACOMA,771298
VIN00000514,Russia,Tokyo,26331,2013,NISSAN,Model S,PHEV,Not Eligible,110,39777,15,495159,PORT OF SEATTLE,675740
VIN00000515,USA,London,27125,2022,FORD,Leaf,BEV,Not Eligible,124,97488,9,608777,CUSTOMS WAREHOUSE,853615
VIN00000516,Australia,Toronto,65487,2011,TESLA,Camry,PHEV,Eligible,371,52173,13,639452,CUSTOMS WAREHOUSE,812015
VIN00000517,India,Mumbai,58875,2001,BMW,Camry,BEV,Not Eligible,91,149349,27,677455,PORT OF TACOMA,534442
VIN00000518,Australia,Mumbai,12665,2011,TOYOTA,Model S,BEV,Eligible,136,48576,24,589585,PORT OF SEATTLE,365838
VIN00000519,Mexico,London,79345,2003,CHEVROLET,Bolt,PHEV,Not Eligible,143,137504,15,382337,PORT OF SEATTLE,183080
VIN00000520,India,New York,29353,2022,CHEVROLET,Mustang,BEV,Not Eligible,392,114379,31,292006,CUSTOMS WAREHOUSE,729319
VIN00000521,China,New York,37574,2019,TOYOTA,Mustang,BEV,Not Eligible,344,37385,17,992260,PORT OF SEATTLE,890807
VIN00000522,Brazil,New York,44681,2015,BMW,Mustang,PHEV,Eligible,261,103750,12,141976,PORT OF SEATTLE,885890
VIN00000523,India,Berlin,78859,2001,TOYOTA,Mustang,BEV,Eligible,378,98131,13,186602,PORT OF SEATTLE,954523
VIN00000524,Germany,Moscow,12880,2014,CHEVROLET,Leaf,BEV,Not Eligible,386,145384,43,771498,PORT OF TACOMA,107670
VIN00000525,Russia,Berlin,26691,2015,TESLA,Bolt,PHEV,Not Eligible,269,42729,19,552827,PORT OF TACOMA,680906
VIN00000526,Russia,London,90958,2004,TESLA,Camry,BEV,Not Eligible,265,117857,23,457222,PORT OF SEATTLE,429371
VIN00000527,India,Mumbai,99583,2001,CHEVROLET,Bolt,BEV,Eligible,166,127920,42,360900,PORT OF SEATTLE,116968
VIN00000528,China,Toronto,31608,2004,FORD,Model X,BEV,Not Eligible,195,66740,28,954549,PORT OF TACOMA,459189
VIN00000529,India,Sydney,69051,2001,FORD,Model S,PHEV,Eligible,76,34288,14,172307,CUSTOMS WAREHOUSE,538557
VIN00000530,India,São Paulo,73245,2021,CHEVROLET,Bolt,PHEV,Not Eligible,136,131564,7,758649,PORT OF TACOMA,867780
VIN00000531,Russia,Tokyo,72408,2004,FORD,Leaf,PHEV,Eligible,154,57230,8,973483,PORT OF SEATTLE,920204
VIN00000532,Canada,London,21720,2023,CHEVROLET,Model X,BEV,Not Eligible,62,127141,1,628615,CUSTOMS WAREHOUSE,589561
VIN00000533,UK,Sydney,43771,2021,BMW,Leaf,BEV,Not Eligible,201,89693,28,605119,CUSTOMS WAREHOUSE,849345
VIN00000534,France,Sydney,30686,2013,NISSAN,Model X,BEV,Not Eligible,304,52123,2,502252,PORT OF TACOMA,662817
VIN00000535,Canada,Mumbai,51286,2003,TESLA,Model X,PHEV,Not Eligible,284,99584,48,126236,CUSTOMS WAREHOUSE,320943
VIN00000536,UK,Paris,19699,2005,FORD,Leaf,BEV,Eligible,392,72054,36,720553,CUSTOMS WAREHOUSE,993650
VIN00000537,Germany,Mumbai,10134,2011,TESLA,Leaf,BEV,Eligible,67,94240,30,472711,CUSTOMS WAREHOUSE,970887
VIN00000538,China,Mumbai,52519,2023,CHEVROLET,Camry,BEV,Not Eligible,288,116271,48,923201,CUSTOMS WAREHOUSE,591279
VIN00000539,USA,Mumbai,16071,2009,FORD,Model S,BEV,Not Eligible,270,78456,28,956577,PORT OF TACOMA,541409
VIN00000540,Brazil,Berlin,65469,2011,BMW,Leaf,BEV,Not Eligible,208,96488,36,149293,CUSTOMS WAREHOUSE,714726
VIN00000541,China,Paris,13579,2022,CHEVROLET,Bolt,PHEV,Eligible,73,112107,33,381827,PORT OF TACOMA,353487
VIN00000542,Russia,Moscow,41168,2016,NISSAN,Leaf,PHEV,Eligible,343,122177,49,482116,CUSTOMS WAREHOUSE,734284
VIN00000543,Germany,Tokyo,34851,2015,FORD,Model X,BEV,Eligible,352,56372,37,629276,PORT OF TACOMA,375913
VIN00000544,Germany,Tokyo,34391,2005,FORD,Bolt,BEV,Not Eligible,177,114988,17,376257,CUSTOMS WAREHOUSE,825142
VIN00000545,Canada,São Paulo,11213,2011,TESLA,Bolt,PHEV,Eligible,53,106759,44,436243,PORT OF SEATTLE,497476
VIN00000546,Brazil,Paris,92251,2024,FORD,Model X,PHEV,Not Eligible,118,32919,5,619098,CUSTOMS WAREHOUSE,436180
VIN00000547,China,Paris,99317,2002,TESLA,Model X,BEV,Not Eligible,55,140463,15,880595,PORT OF TACOMA,638492
VIN00000548,UK,New York,42512,2015,TESLA,Bolt,PHEV,Eligible,50,100063,16,215302,CUSTOMS WAREHOUSE,395062
VIN00000549,UK,Moscow,26653,2005,BMW,Model X,BEV,Eligible,160,132352,2,328065,PORT OF SEATTLE,463842
VIN00000550,Russia,Sydney,29564,2020,TOYOTA,Bolt,BEV,Not Eligible,111,41277,22,172977,PORT OF TACOMA,169970
VIN00000551,Australia,Moscow,66702,2006,BMW,Model X,BEV,Eligible,120,69732,11,994568,CUSTOMS WAREHOUSE,717028
VIN00000552,Russia,Tokyo,45879,2014,TOYOTA,Camry,BEV,Not Eligible,215,58786,5,366143,CUSTOMS WAREHOUSE,436492
VIN00000553,Germany,Toronto,88301,2004,BMW,Bolt,PHEV,Eligible,268,86722,48,538304,CUSTOMS WAREHOUSE,899998
VIN00000554,Japan,Berlin,70850,2008,TOYOTA,Model X,PHEV,Not Eligible,359,106887,1,857750,PORT OF SEATTLE,211798
VIN00000555,Japan,Toronto,20603,2011,FORD,Leaf,PHEV,Eligible,280,40291,48,177747,PORT OF SEATTLE,534465
VIN00000556,Australia,Moscow,97208,2019,BMW,Model S,PHEV,Eligible,216,121009,48,782643,PORT OF TACOMA,827895
VIN00000557,India,New York,23599,2021,FORD,Bolt,PHEV,Eligible,166,99680,9,809010,CUSTOMS WAREHOUSE,948856
VIN00000558,Mexico,Tokyo,20688,2004,FORD,Model S,PHEV,Not Eligible,222,61727,2,812313,PORT OF SEATTLE,349313
VIN00000559,France,Moscow,13989,2022,NISSAN,Leaf,PHEV,Not Eligible,247,117195,29,723379,PORT OF SEATTLE,772922
VIN00000560,USA,Mumbai,43820,2019,CHEVROLET,Camry,PHEV,Not Eligible,181,99793,4,457938,PORT OF TACOMA,547406
VIN00000561,Brazil,New York,62790,2003,FORD,Mustang,PHEV,Not Eligible,268,98908,6,406687,CUSTOMS WAREHOUSE,364449
VIN00000562,Japan,São Paulo,93331,2019,BMW,Model S,PHEV,Not Eligible,150,74724,30,327140,PORT OF TACOMA,119119
VIN00000563,Brazil,Moscow,53164,2008,TESLA,Mustang,BEV,Eligible,194,66322,46,755171,CUSTOMS WAREHOUSE,354294
VIN00000564,Canada,Moscow,54997,2005,BMW,Model X,BEV,Not Eligible,82,43910,24,119775,CUSTOMS WAREHOUSE,260300
VIN00000565,China,São Paulo,60113,2024,NISSAN,Leaf,BEV,Eligible,240,49011,50,370692,PORT OF TACOMA,799907
VIN00000566,China,Toronto,81951,2000,NISSAN,Leaf,BEV,Eligible,353,30528,6,557342,PORT OF TACOMA,324880
VIN00000567,UK,Moscow,65054,2008,CHEVROLET,Model S,PHEV,Not Eligible,278,113730,4,881269,PORT OF SEATTLE,198417
VIN00000568,Mexico,Tokyo,10506,2004,CHEVROLET,Model S,PHEV,Not Eligible,319,85522,20,304716,CUSTOMS WAREHOUSE,773446
VIN00000569,China,New York,81019,2014,CHEVROLET,Leaf,BEV,Eligible,118,136349,20,896909,CUSTOMS WAREHOUSE,713171
VIN00000570,China,Paris,20586,2016,TOYOTA,Leaf,BEV,Not Eligible,223,69326,43,249499,CUSTOMS WAREHOUSE,170042
VIN00000571,Mexico,Berlin,28285,2023,TESLA,Leaf,BEV,Eligible,181,70532,45,341478,PORT OF SEATTLE,118114
VIN00000572,India,Mumbai,16551,2024,CHEVROLET,Camry,BEV,Eligible,356,82778,26,472615,PORT OF SEATTLE,750486
VIN00000573,China,Paris,37335,2012,TESLA,Camry,BEV,Not Eligible,166,65298,32,425422,CUSTOMS WAREHOUSE,496214
VIN00000574,India,São Paulo,16177,2015,TOYOTA,Mustang,PHEV,Not Eligible,257,85366,37,559036,PORT OF TACOMA,881282
VIN00000575,India,Paris,69788,2006,BMW,Camry,BEV,Not Eligible,259,73860,38,326142,PORT OF TACOMA,646037
VIN00000576,Canada,Toronto,40420,2003,CHEVROLET,Model X,PHEV,Eligible,148,105497,30,941810,PORT OF SEATTLE,932886
VIN00000577,USA,Berlin,87371,2000,NISSAN,Mustang,BEV,Not Eligible,210,97952,42,530009,PORT OF TACOMA,983829
VIN00000578,Germany,Paris,69094,2022,TESLA,Model S,BEV,Not Eligible,67,65294,29,432579,PORT OF TACOMA,714918
VIN00000579,Germany,London,45622,2015,NISSAN,Model S,BEV,Eligible,351,30268,15,410463,CUSTOMS WAREHOUSE,416533
VIN00000580,China,Toronto,82678,2010,BMW,Mustang,PHEV,Not Eligible,228,102694,33,324588,CUSTOMS WAREHOUSE,526632
VIN00000581,USA,London,20539,2005,FORD,Mustang,BEV,Not Eligible,357,42690,26,258132,PORT OF TACOMA,513021
VIN00000582,Japan,Toronto,93523,2022,TOYOTA,Leaf,BEV,Eligible,97,87567,8,104317,CUSTOMS WAREHOUSE,148114
VIN00000583,Japan,São Paulo,89524,2013,CHEVROLET,Model X,PHEV,Not Eligible,174,108548,34,750441,CUSTOMS WAREHOUSE,597852
VIN00000584,Mexico,Paris,15075,2003,BMW,Mustang,PHEV,Not Eligible,368,51349,33,439577,PORT OF TACOMA,465509
VIN00000585,Russia,Paris,28497,2012,BMW,Bolt,PHEV,Not Eligible,101,51678,24,309990,PORT OF TACOMA,317962
VIN00000586,USA,Sydney,98755,2017,CHEVROLET,Bolt,BEV,Not Eligible,92,113439,7,192785,PORT OF SEATTLE,261042
VIN00000587,Japan,Sydney,47724,2005,BMW,Model S,BEV,Eligible,88,90100,19,786179,PORT OF TACOMA,703281
VIN00000588,Brazil,São Paulo,50030,2013,TOYOTA,Bolt,BEV,Not Eligible,280,96444,23,810082,PORT OF SEATTLE,895713
VIN00000589,Mexico,Moscow,74729,2008,TESLA,Model S,BEV,Eligible,57,79251,20,715375,PORT OF SEATTLE,563915
VIN00000590,Australia,London,29191,2014,FORD,Bolt,BEV,Eligible,244,54482,30,891586,PORT OF TACOMA,602191
VIN00000591,India,New York,81688,2018,BMW,Mustang,BEV,Eligible,86,94180,25,501627,PORT OF TACOMA,210882
VIN00000592,France,Berlin,20847,2009,NISSAN,Leaf,BEV,Not Eligible,127,141105,4,333148,PORT OF SEATTLE,475388
VIN00000593,France,Berlin,20666,2012,CHEVROLET,Camry,PHEV,Eligible,212,125906,48,107597,CUSTOMS WAREHOUSE,596114
VIN00000594,Australia,Paris,82793,2014,FORD,Model X,BEV,Not Eligible,114,68694,42,928120,PORT OF SEATTLE,984973
VIN00000595,USA,Toronto,54782,2008,TESLA,Leaf,PHEV,Eligible,192,136938,5,283241,PORT OF SEATTLE,906567
VIN00000596,Australia,Tokyo,51364,2022,FORD,Model S,BEV,Not Eligible,97,91955,16,730193,CUSTOMS WAREHOUSE,782265
VIN00000597,Canada,Berlin,70342,2011,FORD,Leaf,BEV,Eligible,184,112047,16,144087,PORT OF SEATTLE,965066
VIN00000598,Canada,Berlin,11385,2002,TOYOTA,Leaf,PHEV,Not Eligible,360,76150,33,256348,CUSTOMS WAREHOUSE,881538
VIN00000599,Russia,Moscow,21280,2009,FORD,Mustang,PHEV,Eligible,135,123279,26,755373,PORT OF SEATTLE,823806
VIN00000600,France,London,91897,2009,TOYOTA,Model X,PHEV,Eligible,280,55439,45,621357,PORT OF SEATTLE,513324
VIN00000601,Russia,Toronto,92422,2019,TOYOTA,Camry,BEV,Not Eligible,313,56613,30,616350,PORT OF TACOMA,598684
VIN00000602,China,Berlin,46213,2002,FORD,Mustang,PHEV,Not Eligible,220,133631,26,375456,CUSTOMS WAREHOUSE,900597
VIN00000603,China,New York,15749,2024,NISSAN,Mustang,BEV,Eligible,205,73055,45,231581,PORT OF TACOMA,782229
VIN00000604,France,Paris,19420,2024,FORD,Camry,BEV,Not Eligible,297,49051,41,471942,PORT OF TACOMA,874017
VIN00000605,Canada,Mumbai,88442,2023,NISSAN,Model S,BEV,Not Eligible,311,45397,5,444287,PORT OF TACOMA,367254
VIN00000606,Germany,New York,23014,2013,CHEVROLET,Mustang,PHEV,Not Eligible,196,116491,11,342779,CUSTOMS WAREHOUSE,272973
VIN00000607,Mexico,New York,10549,2024,TESLA,Bolt,PHEV,Eligible,271,132851,11,580275,PORT OF SEATTLE,574034
VIN00000608,Russia,Toronto,70033,2003,TESLA,Model X,PHEV,Not Eligible,58,96233,4,725270,CUSTOMS WAREHOUSE,189757
VIN00000609,Russia,Moscow,39364,2023,TESLA,Bolt,PHEV,Not Eligible,267,110020,24,773386,PORT OF SEATTLE,305735
VIN00000610,Germany,Tokyo,55809,2007,CHEVROLET,Model S,BEV,Not Eligible,274,145588,11,371819,PORT OF TACOMA,951337
VIN00000611,Japan,Berlin,16806,2005,TOYOTA,Camry,PHEV,Eligible,303,124462,15,346176,PORT OF TACOMA,598094
VIN00000612,Japan,São Paulo,89337,2001,NISSAN,Model X,PHEV,Eligible,216,98238,38,723030,CUSTOMS WAREHOUSE,625766
